object_id,object_type,cleaned_full_text_len,embedding_text_len_before_enrich,embedding_text_len_after_enrich,enriched_true_false,still_thin_true_false,num_chunks
overview_navigation-treskowallee-campus,overview_navigation,1518,1875,3476,True,True,5
overview_navigation-wilhelminenhof-campus,overview_navigation,2072,2382,2382,False,False,5
special_category-application-minors,special_category,1002,1387,1387,False,False,5
special_category-double-joint-degrees,special_category,2265,2663,2663,False,False,5
special_category-erasmus-exchange-eu,special_category,1457,1869,1869,False,False,6
special_category-exchange-accommodation,special_category,2675,3185,3185,False,False,4
special_category-exchange-arrival-berlin,special_category,6493,6988,6988,False,False,9
special_category-exchange-programmes-worldwide-promos,special_category,2842,3293,3293,False,False,4
special_category-general-student-advisory,special_category,2255,2870,4709,True,True,6
special_category-guest-students,special_category,1708,2136,2136,False,False,6
special_category-hardship-case,special_category,6379,6733,6733,False,False,9
special_category-having-doubts-about-your-studies,special_category,5827,6348,6348,False,False,8
special_category-htw-foundation-advantages,special_category,2427,3107,3107,False,False,4
special_category-htw-foundation-arrival-berlin,special_category,2427,3116,3116,False,False,4
special_category-htw-studentcard,special_category,2022,2495,2495,False,False,6
special_category-intercultural-exchange,special_category,158,657,2572,True,False,4
special_category-international-winter-summer-school-digital-twin,special_category,2506,3155,3155,False,False,4
special_category-international-winter-summer-schools,special_category,7192,7749,7749,False,False,10
special_category-living-in-berlin-international-students,special_category,805,1487,1487,False,False,5
special_category-no-higher-education-entry,special_category,1437,1875,1875,False,False,6
special_category-predsh-online-consultation,special_category,537,1216,1216,False,False,4
special_category-predsh-preparation-dsh,special_category,1306,2057,2057,False,False,6
special_category-psychological-counselling,special_category,1739,2228,2228,False,False,6
special_category-re-enrolling-after-stopping,special_category,613,1086,1086,False,False,5
special_category-second-degree,special_category,2384,2836,2836,False,False,4
special_category-student-exchange-returning-home,special_category,1449,2013,2013,False,False,5
special_category-student-management,special_category,2675,3179,3179,False,False,4
special_category-studienkolleg,special_category,4641,5114,5114,False,False,7
special_category-study-counselling-service,special_category,0,353,353,False,False,1
special_category-study-forms-documents,special_category,3865,4339,4339,False,False,6
special_category-study-orientation-self-assessment,special_category,482,844,844,False,False,1
special_category-ukraine-crisis-support,special_category,1969,2503,2503,False,False,6
university_profile-foreign-languages-centre,university_profile,918,1398,1398,False,False,4
